SubjectID,Ps1 Major1 Code,Ps1 Major2 Code,Ps2 Major1 Code,Ps2 Major2 Code
189832832,3,1,0,0
189835658,3,1,0,0
189854585,3,1,0,0
189887336,3,2,0,0
189913238,3,1,0,0
189926477,3,1,0,0
189968813,3,1,0,0
189982547,3,1,0,0
189988082,3,2,0,0
190024271,3,1,0,0
190063529,3,1,0,0
190069766,3,1,0,0
190096010,3,1,0,0
190100465,3,1,0,0
190105748,3,1,0,0
190134323,3,2,0,0
190151738,3,1,0,0
190152962,3,1,0,0
190153736,3,1,0,0
190160927,3,3,0,0
190171556,3,1,0,0
190178135,3,1,0,0
190185173,3,1,0,0
190186217,3,1,0,0
190196909,3,2,0,0
190200599,3,1,0,0
190241171,3,1,0,0
190241234,3,1,0,0
190266191,3,1,0,0
190272212,3,1,0,0
190291355,3,1,0,0
190310462,3,1,0,0
190321307,3,1,0,0
190330892,3,1,0,0
190336634,3,1,0,0
190341395,2,3,0,0
190348037,3,1,0,0
190350305,3,1,0,0
190369637,3,1,0,0
190376486,3,1,1,1
190394432,3,1,0,0
190402055,3,1,0,0
190418543,3,1,0,0
190427336,3,2,0,0
190462823,3,1,0,0
190464146,3,2,0,0
190501019,3,1,0,0
190534256,3,3,0,0
190544120,1,3,0,0
190546055,3,1,1,1
190555640,3,1,0,0
190557026,3,1,0,0
190557143,3,1,0,0
190573244,3,1,0,0
190598192,3,1,0,0
190608416,3,1,0,0
190655432,3,1,0,0
190683206,3,1,0,0
190702034,3,2,0,0
190715129,3,1,1,1
190738232,3,1,0,0
190739924,2,3,0,0
190796273,3,1,0,0
190796975,3,1,0,0
190846475,3,3,0,0
190970972,3,1,0,0
190971800,3,1,0,0
190991654,3,1,0,0
191005379,3,1,0,0
191014352,3,2,0,0
191019086,3,1,0,0
191032055,3,2,0,0
191064248,3,1,1,1
191065481,3,2,0,0
191097368,3,1,1,1
191099825,3,1,0,0
191124782,3,1,0,0
191128346,3,2,0,0
191146706,3,2,0,0
191155958,3,1,0,0
191164535,3,1,0,0
191181590,3,2,0,0
191182418,3,1,1,1
191193110,3,1,0,0
191215601,3,2,0,0
191227913,3,1,0,0
191241980,4,3,0,0
191266937,3,1,0,0
191297141,3,1,0,0
191302091,3,1,0,0
191310443,3,1,0,0
191366945,3,2,0,0
191377079,3,1,1,1
191394017,3,1,0,0
191394692,3,1,0,0
191406815,3,1,0,0
191410379,3,1,0,0
191426480,2,3,0,0
191433401,3,1,0,0
191440403,2,3,0,0
191451563,3,2,0,0
191460410,3,1,0,0
191489813,3,2,0,0
191503475,3,1,0,0
191521880,3,1,0,0
191522159,3,1,0,0
191538629,3,2,0,0
191548709,3,1,0,0
191551445,3,1,0,0
191578301,3,1,0,0
191583116,3,1,0,0
191597282,3,1,0,0
191599766,3,1,0,0
191611628,3,1,0,0
191611934,3,1,0,0
191621888,3,1,0,0
191625452,3,1,0,0
191630033,3,1,0,0
191635874,3,1,0,0
191644316,3,2,0,0
191665025,3,1,1,1
191690099,3,1,0,0
191703248,3,1,0,0
191738951,3,1,1,1
191792690,3,1,0,0
191818340,3,1,0,0
191819636,3,2,0,0
191862584,3,1,0,0
191862863,3,2,0,0
191906459,3,2,0,0
191907350,3,2,0,0
191958407,3,1,0,0
191965049,3,1,0,0
191969999,3,1,0,0
191997899,3,1,0,0
192051629,3,1,0,0
192079034,3,1,0,0
192161348,3,1,0,0
192178367,3,1,0,0
192192812,3,1,1,1
192199877,3,2,0,0
192229001,3,1,0,0
192255389,3,2,0,0
192258062,3,1,0,0
192260654,3,1,0,0
192269987,3,1,0,0
192271985,3,2,0,0
192272597,3,1,0,0
192280472,3,1,0,0
192302837,3,1,3,2
192311459,3,1,0,0
192318650,3,1,0,0
192329495,3,2,0,0
192342563,3,1,0,0
192352238,3,2,0,0
192358349,3,1,1,1
192364100,3,1,0,0
192372182,3,1,0,0
192379310,3,1,0,0
192385880,3,1,0,0
192392000,3,1,1,1
192392891,3,1,0,0
192393440,3,1,0,0
192411188,3,1,0,0
192411872,3,2,0,0
192413159,3,1,0,0
192416390,3,1,0,0
192420440,3,1,0,0
192431321,3,1,0,0
192460328,3,1,2,1
192460598,3,2,0,0
192502565,3,1,0,0
192509540,3,1,0,0
192523031,3,1,0,0
192537719,3,1,0,0
192565835,3,1,0,0
192568076,3,2,0,0
192568139,3,2,0,0
192591791,3,1,0,0
192626477,3,1,0,0
192669515,3,2,0,0
192676499,3,1,0,0
192683348,3,1,0,0
192684851,3,1,0,0
192704057,2,3,0,0
192707216,3,1,0,0
192725378,3,1,0,0
192740930,3,1,0,0
192748184,3,2,0,0
192758714,3,1,0,0
192760433,3,1,0,0
192764681,3,2,0,0
192774356,3,1,1,1
192788207,3,2,0,0
192789989,3,1,0,0
192798287,3,2,0,0
192801698,3,1,0,0
192806990,3,1,0,0
192809447,3,1,1,1
192810401,3,1,0,0
192820625,3,1,0,0
192824135,3,1,0,0
192840974,3,1,0,0
192844349,3,1,0,0
192844565,3,1,0,0
192858875,3,1,0,0
192875867,3,2,0,0
192889448,3,1,0,0
192892247,3,1,0,0
192906098,3,1,0,0
192929057,3,2,0,0
192930344,3,1,0,0
192935285,3,1,0,0
192941675,3,1,0,0
192944870,3,1,0,0
192952430,3,1,0,0
193001165,3,1,0,0
193009796,3,1,0,0
193021046,2,3,0,0
193030775,3,2,0,0
193048595,3,2,0,0
193048721,3,1,0,0
193049954,3,1,0,0
193066820,3,1,0,0
193068044,3,2,0,0
193082093,3,1,0,0
193085594,3,1,0,0
193109651,3,1,0,0
193110884,3,1,0,0
193113710,3,1,0,0
193114322,3,1,0,0
193118435,3,1,0,0
193160834,3,1,0,0
193211306,3,1,0,0
193247081,3,2,0,0
193264622,3,1,1,1
193326713,3,1,0,0
193367366,3,1,0,0
193372433,3,1,0,0
193389083,3,1,0,0
193406228,3,2,0,0
193413905,3,1,1,1
193426937,3,1,0,0
193428098,3,1,0,0
193441256,3,1,0,0
193461749,3,1,1,1
193472378,3,2,0,0
193478120,3,1,0,0
193481621,3,1,0,0
193494437,3,1,1,1
193500611,3,1,0,0
193506785,3,1,0,0
193521509,3,1,0,0
193526792,3,1,0,0
193533641,3,1,0,0
193555304,3,1,0,0
193569281,3,3,0,0
193569767,3,1,0,0
193574006,3,1,1,1
193580180,3,1,0,0
193604309,3,1,0,0
193625693,3,1,0,0
193632479,3,2,0,0
193637276,3,1,0,0
193643945,3,2,0,0
193655888,3,2,0,0
193662278,3,1,0,0
193663448,3,2,0,0
193665752,3,1,0,0
193672763,3,1,0,0
193676048,3,1,0,0
193692554,3,1,0,0
193698602,3,1,0,0
193705667,3,1,0,0
193712921,2,3,0,0
193730066,3,1,0,0
193748831,3,2,0,0
193752485,3,1,0,0
193768163,3,1,0,0
193771817,3,1,0,0
193776335,3,1,0,0
193781249,3,2,0,0
193806566,3,2,0,0
193824998,3,1,0,0
193825124,3,1,2,1
193826357,3,1,0,0
193854185,3,1,0,0
193872680,3,1,0,0
193877909,3,1,0,0
193882274,3,2,0,0
193901813,3,1,2,1
193917725,3,1,0,0
193940954,3,1,0,0
193965344,3,1,0,0
193971797,3,1,0,0
194006402,3,2,0,0
194006825,3,2,0,0
194023754,3,1,0,0
194035886,3,1,0,0
194049188,3,1,1,1
194056721,3,1,0,0
194071931,3,1,0,0
194180363,3,1,0,0
194222726,3,1,0,0
194222843,3,2,0,0
194223338,3,3,0,0
194240267,3,2,0,0
194257349,1,3,0,0
194281748,3,1,0,0
194337755,3,2,0,0
194381135,3,2,0,0
194397785,3,1,1,1
194415182,3,2,0,0
194422247,3,1,0,0
194484671,3,1,0,0
194632712,3,3,0,0
194644898,2,3,1,1
194676920,3,1,0,0
194710904,3,1,0,0
194729489,3,1,0,0
194742170,3,1,0,0
194746967,3,1,0,0
194779844,3,1,0,0
194794469,3,3,0,0
194820038,3,2,1,1
194820317,3,1,0,0
194821604,3,1,0,0
194842457,3,2,0,0
194845319,3,2,0,0
194852294,2,3,1,1
194865137,3,1,0,0
194868638,3,1,0,0
194873435,3,2,0,0
194885018,3,1,0,0
194889869,3,1,0,0
194890697,3,1,0,0
194891993,3,2,0,0
194898167,3,1,0,0
194903792,3,2,0,0
194934077,3,1,0,0
194950547,3,2,0,0
194960321,3,2,0,0
194962382,3,1,0,0
194963696,3,1,0,0
194963975,3,1,0,0
195022097,3,1,0,0
195029567,3,1,0,0
195038477,3,2,0,0
195045119,3,2,0,0
195047171,3,3,0,0
195079535,3,1,0,0
195085772,3,1,0,0
195092279,3,1,0,0
195095069,3,1,0,0
195115841,3,1,0,0
195130313,3,1,1,1
195141131,3,1,0,0
195143129,3,2,0,0
195165341,3,1,0,0
195193907,3,1,0,0
195199136,3,1,0,0
195209612,3,2,0,0
195233669,3,1,0,0
195251435,3,1,0,0
195261083,3,1,0,0
195267320,3,2,0,0
195268544,3,1,0,0
195282332,3,1,0,0
195293492,3,1,0,0
195294653,3,2,0,0
195305624,3,1,0,0
195330302,3,1,0,0
195353558,3,1,0,0
195375617,3,1,0,0
195385139,3,1,1,1
195405299,3,2,0,0
195413588,2,3,0,0
195441425,3,1,0,0
195443000,3,1,0,0
195463673,3,1,0,0
195468524,3,1,0,0
195472520,3,1,0,0
195476759,3,2,0,0
195483617,3,1,0,0
195556607,3,1,0,0
195603074,3,1,0,0
195615026,3,1,0,0
195620831,3,1,0,0
195630848,3,1,0,0
195640361,3,1,0,0
195654194,3,2,0,0
195684515,3,1,0,0
195742088,3,1,0,0
200445803,3,1,0,0
200684654,2,3,0,0
200791475,3,3,0,0
200792060,3,2,0,0
200796056,3,1,0,0
200831759,3,1,0,0
200879108,3,1,0,0
200889242,3,2,1,1
200896928,3,1,0,0
200901572,3,1,1,1
200911643,3,1,0,0
200932082,3,1,0,0
200943818,3,1,1,1
200981015,3,1,1,1
200984984,3,1,1,1
201011588,3,1,0,0
201035087,3,1,0,0
201051620,3,1,0,0
201054203,4,3,0,0
201069989,3,1,0,0
201075191,3,1,0,0
201112487,3,1,0,0
201121460,3,2,0,0
201135221,3,1,0,0
201157370,3,2,0,0
201168341,3,1,0,0
201300425,3,2,0,0
201335363,3,1,1,1
201378131,3,1,0,0
201390209,3,1,0,0
201392198,3,1,0,0
201451067,3,1,0,0
201464099,3,1,0,0
201476699,3,2,0,0
201492539,3,1,0,0
201503483,3,1,0,0
201511529,3,1,1,1
201519674,2,3,1,1
201527288,3,2,0,0
201550526,3,1,0,0
201559499,3,1,0,0
201567725,3,1,0,0
201649490,1,3,1,1
201656060,2,3,0,0
201661901,3,1,0,0
201772376,3,2,0,0
201783932,3,1,0,0
