SubjectID,Ps1 Major1 Code,Ps1 Major2 Code,Ps2 Major1 Code,Ps2 Major2 Code
188142209,2,1,0,0
188142272,2,1,0,0
188151056,2,2,0,0
188156591,2,1,0,0
188158580,2,1,0,0
188159750,3,2,0,0
188159813,2,2,0,0
188167490,2,1,0,0
188167823,2,1,0,0
188168381,2,1,0,0
188177291,2,1,0,0
188177624,2,2,0,0
188180513,2,2,0,0
188181620,2,1,0,0
188183249,2,1,0,0
188183312,1,2,0,0
188190872,2,1,0,0
188193329,1,2,0,0
188193815,2,1,0,0
188195660,2,1,0,0
188196155,2,2,0,0
188197109,2,1,0,0
188200268,2,1,0,0
188201132,2,1,0,0
188201627,1,2,0,0
188201690,2,1,0,0
188205254,2,1,2,1
188208017,2,1,0,0
188208629,2,1,1,1
188220059,2,2,0,0
188220734,2,2,0,0
188228015,2,1,0,0
188228483,1,2,0,0
188229032,2,1,0,0
188229590,2,1,0,0
188229797,2,1,0,0
188230139,2,1,0,0
188230814,2,1,0,0
188232749,2,1,0,0
188232812,2,1,0,0
188237393,2,1,0,0
188238221,2,2,0,0
188238770,2,2,0,0
188239661,2,2,0,0
188240489,2,1,1,1
188250506,2,2,0,0
188255672,2,1,0,0
188257454,2,1,0,0
188262269,2,1,0,0
188264240,2,2,0,0
188267804,2,1,0,0
188269739,2,1,1,1
188269955,2,1,0,0
188270909,2,1,0,0
188274869,2,2,0,0
188280647,2,1,0,0
188282402,2,1,0,0
188284337,1,2,0,0
188284463,2,1,0,0
188286056,2,2,0,0
188286119,2,2,0,0
188287226,2,1,0,0
188289557,2,1,0,0
188291033,2,2,0,0
188292905,1,2,0,0
188296811,2,1,0,0
188297360,2,2,0,0
188298809,2,1,0,0
188299358,1,2,0,0
188299637,2,1,0,0
188302985,2,1,0,0
188303048,2,1,0,0
188303327,2,1,1,1
188304767,2,2,0,0
188305316,2,1,0,0
188308331,2,1,1,1
188310023,2,1,0,0
188311193,2,2,0,0
188314352,2,1,0,0
188315675,2,1,0,0
188318600,2,1,0,0
188319428,2,1,0,0
188319761,1,2,0,0
188322434,2,1,0,0
188322587,2,1,0,0
188322866,2,1,0,0
188322929,2,1,0,0
188324099,2,2,0,0
188324585,2,1,0,0
188324927,2,1,0,0
188328887,2,1,0,0
188335682,2,1,0,0
188336078,2,1,0,0
188349164,2,1,0,0
188349650,2,1,0,0
188350145,2,1,0,0
188350820,2,1,0,0
188352260,2,1,0,0
188352323,2,1,0,0
188352755,2,2,0,0
188354843,2,1,0,0
188356778,3,2,0,0
188357399,2,1,0,0
188358011,2,1,0,0
188358497,2,1,0,0
188361728,2,1,0,0
188362277,2,1,0,0
188362556,2,1,0,0
188363078,2,1,0,0
188363636,2,1,0,0
188363969,2,1,0,0
188373221,2,2,0,0
188374328,2,2,0,0
188376443,2,1,0,0
188376596,2,1,0,0
188377217,2,1,0,0
188378783,2,2,0,0
188381735,1,2,0,0
188385911,1,1,2,1
188387630,2,1,0,0
188387909,2,2,0,0
188394758,2,1,0,0
188396819,2,1,1,1
188397305,2,1,0,0
188397494,1,2,0,0
188397710,2,1,0,0
188398196,2,1,0,0
188401058,2,1,1,1
188401337,2,1,0,0
188401733,2,1,0,0
188401886,2,1,0,0
188402777,2,1,0,0
188402840,2,1,0,0
188402903,2,1,0,0
188407232,2,1,0,0
188407970,2,2,0,0
188408654,2,1,0,0
188410031,2,1,0,0
188410526,2,1,0,0
188410859,2,1,0,0
188411075,2,1,0,0
188411534,2,1,0,0
188413406,2,1,0,0
188415314,2,2,0,0
188415746,2,1,0,0
188418662,2,1,1,1
188419832,2,1,0,0
188420939,2,1,0,0
188423207,2,1,0,0
188423333,1,2,0,0
188433962,2,1,0,0
188437580,2,1,0,0
188438471,2,1,0,0
188447723,2,1,0,0
188451989,2,1,0,0
188452547,2,1,0,0
188453285,2,1,0,0
188455409,2,1,0,0
188455616,2,2,0,0
188459180,2,1,0,0
188459396,2,2,0,0
188461916,2,1,0,0
188462663,2,1,1,1
188465147,2,1,0,0
188466101,2,2,0,0
188468099,2,1,1,1
188472464,1,2,0,0
188472887,2,2,0,0
188473013,2,1,0,0
188473166,2,1,0,0
188473508,2,1,0,0
188475776,2,2,0,0
188475902,2,1,0,0
188476055,1,2,0,0
188476181,2,1,0,0
188482139,2,2,0,0
188483372,2,1,0,0
188483858,2,1,0,0
188485091,2,1,0,0
188485361,2,1,0,0
188489267,2,2,0,0
188490563,2,1,0,0
188491391,2,1,0,0
188492219,1,2,0,0
188498735,2,1,0,0
188500022,2,2,0,0
188500301,2,2,0,0
188501615,2,1,0,0
188501957,2,1,1,1
188502632,2,1,0,0
188502974,2,2,0,0
